full_part_number,section,subsection,position_details
77BBlank15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BBlank15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BBlank15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BBlank25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BBlank25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BBlank25OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BBlank25OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BBlank37OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BBlank37OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BBlank37OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BBlank37OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG09OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG15OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG25OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG25OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG37OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG37OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BG37OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BG37OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH09OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH15OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH25OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH25OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH37OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH37OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77BH37OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77BH37OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(B): Shell size B | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank09OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank15OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank25OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank25OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank37OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank37OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CBlank37OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CBlank37OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(Blank): Clear Hole | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG09OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG15OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG25OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG25OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG37OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG37OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CG37OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CG37OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(G): M3 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH09OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH15OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH25OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH25OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(25): Configuration 25 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH37OL2P,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH37OL2S,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
77CH37OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
77CH37OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(77): Tinned shell for receptacle | Pos3(C): Shell size C | Pos4(H): #4-40 | Pos5(37): Configuration 37 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
717EBlank09OL2P,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
717EBlank09OL2S,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
717EBlank09OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
717EBlank09OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(09): Configuration 09 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
717EBlank15OL2P,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
717EBlank15OL2S,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
717EBlank15OL2CP,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(P): Pin | Pos8(): Fixed value"
717EBlank15OL2CS,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(15): Configuration 15 | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(S): Socket | Pos8(): Fixed value"
717EBlank25OL2P,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(P): Pin | Pos8(): Fixed value"
717EBlank25OL2S,How to Order,,"Pos1(): Fixed value | Pos2(717): Tinned shell + dimples for plug | Pos3(E): Shell size E | Pos4(Blank): Clear Hole | Pos5(25): Configuration 25 | Pos6(OL2): L = 6.02mm (.237"") | Pos7(S): Socket | Pos8(): Fixed value"
