full_part_number,section,subsection,position_details
0912111,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0912201,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0912211,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0912401,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0912411,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0912501,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0912511,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0920001,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0920011,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
0920101,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0920111,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
0920201,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0920211,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel
0920401,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0920411,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
